"CDR017-DIL"	"CDR025"	"CDR021"	"CDR029-DIL"	"CDR022"	"CDR018"	"CDR026-DIL"	"CDR030-DIL"	"CDR031-DIL"	"CDR023"	"CDR027-DIL"	"CDR019"	"CDR020"	"CDR028-DIL"	"CDR032-DIL"	"CDR024"
"ILMN_2594205"	963.631036165856	1048.77311056421	844.680446119882	966.856064015338	944.069755233507	853.627757889785	1058.77964848659	957.454087950553	1017.10401842818	951.297676737736	1079.93364162949	1003.01825287194	966.856064015338	1113.75633591066	1007.10489659084	885.432872479327
"ILMN_1227926"	9679.86979993549	7710.14394710641	8673.49630935748	9617.49028807249	7056.43925386236	9617.49028807249	8394.53348158026	8673.49630935748	10770.9772625105	7611.755125839	8595.52411185406	8673.49630935748	9454.64367310926	10267.2014193161	10267.2014193161	8545.20166067849
"ILMN_1231492"	322.02667824773	333.522652675556	330.371041068229	470.663905414315	212.759264977432	327.458305540321	324.813780598671	519.438887945417	526.981800947681	266.411646273577	528.992956985554	370.017215952763	324.813780598671	510.689020804935	526.981800947681	353.510781047677
"ILMN_1253593"	356.087759773082	310.10030447721	342.429928668099	385.955426441951	330.371041068229	367.098277222458	305.640378347709	338.109642059376	359.984658948878	399.75224176215	350.661695095941	338.109642059376	352.460749213064	354.939555059617	339.181387159091	443.644121915112
"ILMN_2667384"	337.014788298584	279.457878773484	255.338881398804	237.97248606327	237.312229973484	305.057535619199	302.232594518903	259.556429279655	266.913849801925	323.945870831031	214.597367693264	286.194328681782	298.597156418358	236.702304059992	216.372017027966	296.584003843778
"ILMN_1239021"	4525.75696778421	4318.97174073948	4214.09994298401	3951.01705371914	3716.9446862486	3930.63275726847	4214.09994298401	4263.6511906442	3716.9446862486	4453.46870908201	4369.56547501024	3758.64555167416	4173.05951318988	4188.92597363646	3965.05198620695	4096.70074806309
"ILMN_1217728"	180.950794014374	195.829883201231	179.667151886705	171.043779687388	150.845248267724	167.724168946639	171.253474144122	182.101090257859	168.239908532979	180.950794014374	157.159400459038	237.312229973484	176.889527700379	179.326600523289	198.184999036817	164.625500169498
"ILMN_2867147"	225.6721898839	243.612120250928	220.619466796737	278.961632185348	226.515107906241	285.115434280599	306.634486879316	312.746343148227	334.031846979864	222.452631271243	273.879949115797	230.586894916229	256.178693464757	302.848628343949	292.178252353524	225.41653212484
"ILMN_1225730"	1040.9371089846	1096.94121483679	1120.14964345289	1253.49836479202	1302.22950963763	1066.31568794456	1135.231915271	1210.22652055668	1282.0741412926	1085.99860234089	1215.35895343788	1157.62021941744	1159.39816733432	1264.38973908429	1235.42834224468	1146.68691997431
"ILMN_3009738"	366.344723653446	360.466877504648	406.350502684524	399.75224176215	426.735378104158	354.440487599095	343.13408073068	305.057535619199	283.383343262907	392.011471931657	287.18485944085	412.799166050593	327.97037880603	311.000506243549	329.858521985567	363.795679369119
"ILMN_1236845"	191.085172063225	169.944186877935	187.987425801295	172.841991606866	177.632541344857	181.140519959859	214.107927091089	190.352165440103	195.061157782088	188.648951589036	205.959638991884	197.690341555904	200.695577684679	223.054665130865	199.405858032412	185.411878541599
"ILMN_1231371"	768.972684101793	778.669956409203	729.851403590832	780.69618828818	840.865295593909	754.05640305971	853.627757889785	767.838839423536	752.198559385844	846.917749493412	830.544545127954	761.952174533567	848.67652127177	892.698104946664	830.544545127954	827.701272126179
"ILMN_1215212"	4173.05951318988	4546.45398765351	4751.37878302292	5156.17028762343	3854.12573133868	3618.6873557917	4073.53685997972	4902.69697419002	3930.63275726847	3987.81468481283	4246.86392056815	4050.92331070613	3116.10456232667	4751.37878302292	4453.46870908201	4341.58421143691
"ILMN_2723907"	702.684750483979	683.530619878619	686.38337322922	655.822499878846	736.11958040544	700.337727675978	777.153003883988	612.92260310072	676.659005294521	699.530936062573	728.064356016783	652.886512492058	782.133722767026	746.508417022462	711.733809420746	641.612207772249
"ILMN_2847787"	371.600851240809	337.688153904945	408.100609978783	480.820848301338	300.727577379154	417.193455037449	367.098277222458	443.644121915112	421.197854159782	358.24537390248	461.818637527155	426.735378104158	407.496786726766	396.229400400947	392.011471931657	401.868750610113
"ILMN_2975856"	1338.78788020865	1246.82161662221	1387.12524637218	1383.92368512266	1037.69692792628	1253.49836479202	1171.91021919808	1518.89922906206	1308.0023327069	1146.68691997431	1272.48687726723	1203.37216355331	1108.87265294348	1314.1741167257	1240.48607532448	1171.91021919808
"ILMN_1229706"	480.820848301338	526.981800947681	512.160650288439	482.047107186225	481.309632294357	454.445903662889	461.818637527155	447.113233563599	477.975260546603	580.590102420531	541.112636991462	432.78847894473	425.768602271523	566.970475571112	546.991245478227	556.023248627938
"ILMN_2829250"	117.201037916295	112.291573187862	130.178186644455	96.6870887668054	110.15368635187	111.41484490162	118.517884688528	108.482289880756	112.778524838776	92.2486109513417	110.653919957916	101.564860471467	112.349376051708	99.5098755998457	106.544829583981	132.162681895395
