"CDR017-DIL"	"CDR025"	"CDR021"	"CDR029-DIL"	"CDR022"	"CDR018"	"CDR026-DIL"	"CDR030-DIL"	"CDR031-DIL"	"CDR023"	"CDR027-DIL"	"CDR019"	"CDR020"	"CDR028-DIL"	"CDR032-DIL"	"CDR024"
"ILMN_2780499"	147.813169896695	152.645235127419	124.598939478074	135.691044352101	133.781169415184	126.07541926185	130.942964202919	126.392319829276	113.045806217606	132.889720563149	127.326325656377	137.34919650284	132.971418663197	138.853476887168	126.247718441168	130.414781472562
"ILMN_2653251"	490.823317911701	423.720770331442	587.185157087851	598.793965636323	501.14908695736	515.060966875333	405.03336140191	561.0528650787	563.104221948796	590.083664590591	482.047107186225	393.025269879053	514.087578357526	367.098277222458	558.054096975387	682.679660189286
"ILMN_2665490"	2704.16269041435	3234.42316792684	2872.93520030136	2909.30386872102	2612.56584111368	2752.40980667495	3476.16352668531	2909.30386872102	3217.22027228941	3268.03990308467	3256.30456989992	2847.16344187658	2964.48752198019	3037.79595901899	2985.56626246746	3661.47490301779
"ILMN_2593034"	125.118570304517	124.965194700077	133.781169415184	124.524022672584	160.031591563185	120.351071254099	146.301185840128	139.675534809609	118.208425801728	120.396051249848	123.191112037784	128.983894373408	132.378119878458	138.505703452551	108.58429293765	153.533912736861
"ILMN_2962840"	4664.69540071689	4369.56547501024	5025.1209460744	4389.15286275448	4428.8466759451	4428.8466759451	4570.33787385386	4341.58421143691	4246.86392056815	4958.76514885803	4546.45398765351	4993.88923671829	4246.86392056815	4469.64402141686	4482.89503340539	4832.92315355383
"ILMN_1244077"	516.442541723363	490.823317911701	392.513676239165	385.147817378626	327.97037880603	466.383279133623	529.831051301613	334.57111964822	384.462653973181	420.535760737231	401.868750610113	439.917448897832	457.295212628422	468.296640245382	365.593655229645	358.772538402066
"ILMN_2740348"	15302.8393474794	13871.0931748143	13871.0931748143	13385.901164148	14563.465213617	14563.465213617	15014.9966384274	13698.9329466581	14165.7878914904	13385.901164148	15913.3164816302	15014.9966384274	15302.8393474794	14563.465213617	13023.9282455043	13553.0172248398
"ILMN_2910447"	118.303555577848	125.783581268685	107.131567380176	108.835181690173	144.574986265304	120.19069635525	119.860989284751	117.350246625142	113.949063629399	121.537183716816	134.094734779139	111.97459784113	144.264900995596	124.031900927792	116.315594830603	126.884148822332
"ILMN_2773540"	3103.39426273525	3146.97959344395	3415.53111350211	3256.30456989992	3146.97959344395	3037.79595901899	3234.42316792684	3256.30456989992	3311.50515454717	2985.56626246746	3311.50515454717	3426.01758688045	3020.43657024533	3268.03990308467	3256.30456989992	2909.30386872102
"ILMN_2593694"	3476.16352668531	3837.17208425746	4050.92331070613	4734.6769909536	3688.5917506401	3574.89155234138	4173.05951318988	4770.36660652933	5078.24189735046	3837.17208425746	4073.53685997972	3605.68302241819	3376.26211501275	3871.02237110092	4803.48097202452	5156.17028762343
