#Read position (bp)	Clipping profile
214.0	0.11387360030366293
215.0	0.13285253368760674
216.0	0.17081040045549442
217.0	0.18978933383943822
218.0	0.18978933383943822
219.0	0.18978933383943822
220.0	0.18978933383943822
221.0	0.17081040045549442
222.0	0.18978933383943822
223.0	0.18978933383943822
224.0	0.2657050673752135
225.0	0.36059973429493264
226.0	0.6642626684380337
227.0	0.7211994685898653
228.0	0.6832416018219777
229.0	0.740178401973809
230.0	0.740178401973809
231.0	0.7781362687416967
232.0	0.7971152021256405
233.0	0.7971152021256405
234.0	0.7971152021256405
235.0	0.8350730688935281
236.0	0.8160941355095843
237.0	0.8730309356614159
238.0	0.8920098690453596
239.0	1.1007781362687419
240.0	1.176693869804517
241.0	1.2146517365724046
242.0	1.176693869804517
243.0	1.1197570696526855
244.0	1.0817992028847978
245.0	1.062820269500854
246.0	1.2146517365724046
247.0	1.2526096033402923
248.0	1.2526096033402923
249.0	1.5183146707155057
250.0	1.4423989371797306
